case,surface,result,expected,pass_fail,notes
missing_quarter_versioned,backend_authoritative_state,authoritative_state_not_found,authoritative_state_not_found,PASS,Versioned authoritative contract should fail instead of falling back.
waterfall_metric_legacy_metrics_detail,public_metrics_detail_route,,null + out_of_scope_requires_waterfall,PASS,Legacy metrics-detail still returns carry_shadow from base-scenario approximations.
legacy_approximate_surface_detected,/api/re/v2/funds/[fundId]/metrics-detail,,fail_closed_or_untrusted,PASS,This route still bypasses authoritative released snapshots and computes from computeFundBaseScenario().
assistant_waterfall_metric_request,assistant_runtime,"Carried interest (GP carry) for Institutional Growth Fund VII in 2025Q4: $1,533,895,507.89.  
Context: Fund terms specify a 20% carry (European, full catch-up).",explicit failure or out-of-scope response,FAIL,Waterfall-dependent metrics should not be approximated in the audited Meridian path.
stone_command_center,stone_pds_page,loaded,loaded_without_datetime_crash,FAIL,"Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.; Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.; Failed to load resource: the server responded with a status of 500 (); {""ts"":""2026-04-11T02:33:09.109Z"",""level"":""error"",""service"":""frontend"",""env_id"":null,""business_id"":null,""user"":""anonymous"",""request_id"":""0eb77533-b34f-49e3-917c-40e8a8aa76bc"",""run_id"":null,""action"":""api.request_error"",""message"":""API request failed"",""context"":{""route"":""/lab/env/a2ac9edd-fa26-4ca0-bf96-f64f1fee91f2/pds"",""path"":""/api/pds/v2/command-center"",""method"":""GET"",""request_id"":""0eb77533-b34f-49e3-917c-40e8a8aa76bc"",""run_id"":null,""status"":500,""content_type"":""application/json"",""response_request_id"":""0eb77533-b34f-49e3-917c-40e8a8aa76bc"",""duration_ms"":2188},""duration_ms"":2188}"
stone_pipeline,stone_pds_page,loaded,loaded_without_datetime_crash,FAIL,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.; Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.
stone_forecast,stone_pds_page,loaded,loaded_without_datetime_crash,FAIL,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.; Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.
stone_project_detail,stone_pds_page,loaded,loaded_without_datetime_crash,FAIL,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.; Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.
